"module name","licenses"
"@aashutoshrathi/word-wrap@1.2.6","MIT"
"@alloc/quick-lru@5.2.0","MIT"
"@ampproject/remapping@2.2.1","Apache-2.0"
"@babel/code-frame@7.22.10","MIT"
"@babel/compat-data@7.22.9","MIT"
"@babel/core@7.22.11","MIT"
"@babel/generator@7.17.7","MIT"
"@babel/generator@7.22.10","MIT"
"@babel/helper-annotate-as-pure@7.22.5","MIT"
"@babel/helper-compilation-targets@7.22.10","MIT"
"@babel/helper-environment-visitor@7.22.5","MIT"
"@babel/helper-function-name@7.22.5","MIT"
"@babel/helper-hoist-variables@7.22.5","MIT"
"@babel/helper-module-imports@7.22.5","MIT"
"@babel/helper-module-transforms@7.22.9","MIT"
"@babel/helper-plugin-utils@7.22.5","MIT"
"@babel/helper-simple-access@7.22.5","MIT"
"@babel/helper-split-export-declaration@7.22.6","MIT"
"@babel/helper-string-parser@7.22.5","MIT"
"@babel/helper-validator-identifier@7.22.5","MIT"
"@babel/helper-validator-option@7.22.5","MIT"
"@babel/helpers@7.22.11","MIT"
"@babel/highlight@7.22.10","MIT"
"@babel/parser@7.22.11","MIT"
"@babel/plugin-syntax-jsx@7.22.5","MIT"
"@babel/plugin-transform-react-jsx-self@7.22.5","MIT"
"@babel/plugin-transform-react-jsx-source@7.22.5","MIT"
"@babel/runtime@7.22.5","MIT"
"@babel/template@7.22.5","MIT"
"@babel/traverse@7.17.3","MIT"
"@babel/traverse@7.22.11","MIT"
"@babel/types@7.17.0","MIT"
"@babel/types@7.22.11","MIT"
"@babel/types@7.22.5","MIT"
"@codemirror/autocomplete@6.9.0","MIT"
"@codemirror/commands@6.2.4","MIT"
"@codemirror/lang-javascript@6.1.9","MIT"
"@codemirror/language@6.9.0","MIT"
"@codemirror/lint@6.4.0","MIT"
"@codemirror/search@6.5.1","MIT"
"@codemirror/state@6.2.1","MIT"
"@codemirror/theme-one-dark@6.1.2","MIT"
"@codemirror/view@6.16.0","MIT"
"@dnd-kit/accessibility@3.0.1","MIT"
"@dnd-kit/core@6.0.8","MIT"
"@dnd-kit/modifiers@6.0.1","MIT"
"@dnd-kit/sortable@7.0.2","MIT"
"@dnd-kit/utilities@3.2.1","MIT"
"@emotion/is-prop-valid@0.8.8","MIT"
"@emotion/memoize@0.7.4","MIT"
"@emotion/stylis@0.8.5","MIT"
"@emotion/unitless@0.7.5","MIT"
"@esbuild/linux-x64@0.18.20","MIT"
"@eslint-community/eslint-utils@4.4.0","MIT"
"@eslint-community/regexpp@4.5.1","MIT"
"@eslint/eslintrc@2.1.0","MIT"
"@eslint/js@8.44.0","MIT"
"@floating-ui/core@1.4.1","MIT"
"@floating-ui/dom@1.5.1","MIT"
"@floating-ui/react-dom@2.0.0","MIT"
"@floating-ui/utils@0.1.1","MIT"
"@headlessui/react@1.7.15","MIT"
"@headlessui/tailwindcss@0.1.3","MIT"
"@hubspot/api-client@9.0.0","ISC"
"@humanwhocodes/config-array@0.11.10","Apache-2.0"
"@humanwhocodes/module-importer@1.0.1","Apache-2.0"
"@humanwhocodes/object-schema@1.2.1","BSD-3-Clause"
"@iarna/toml@2.2.3","ISC"
"@jridgewell/gen-mapping@0.3.3","MIT"
"@jridgewell/resolve-uri@3.1.0","MIT"
"@jridgewell/set-array@1.1.2","MIT"
"@jridgewell/sourcemap-codec@1.4.14","MIT"
"@jridgewell/sourcemap-codec@1.4.15","MIT"
"@jridgewell/trace-mapping@0.3.18","MIT"
"@juggle/resize-observer@3.4.0","Apache-2.0"
"@lezer/common@1.0.4","MIT"
"@lezer/highlight@1.1.6","MIT"
"@lezer/javascript@1.4.7","MIT"
"@lezer/lr@1.3.10","MIT"
"@next/env@13.5.6","MIT"
"@next/swc-linux-x64-gnu@13.5.6","MIT"
"@next/swc-linux-x64-musl@13.5.6","MIT"
"@nodelib/fs.scandir@2.1.5","MIT"
"@nodelib/fs.stat@2.0.5","MIT"
"@nodelib/fs.walk@1.2.8","MIT"
"@ory/client@1.1.41","Apache-2.0"
"@ory/integrations@1.1.4","Apache-2.0"
"@popperjs/core@2.11.8","MIT"
"@portabletext/types@2.0.6","MIT"
"@rexxars/react-json-inspector@8.0.1","MIT"
"@rexxars/react-split-pane@0.1.93","MIT"
"@sanity-typed/client@1.3.5","MIT*"
"@sanity-typed/groq@1.3.5","MIT*"
"@sanity-typed/types@5.1.2","MIT*"
"@sanity/asset-utils@1.3.0","MIT"
"@sanity/bifur-client@0.3.1","MIT"
"@sanity/block-tools@3.15.1","MIT"
"@sanity/cli@3.15.1","MIT"
"@sanity/client@6.4.9","MIT"
"@sanity/color@2.2.5","MIT"
"@sanity/diff@3.15.1","MIT"
"@sanity/eventsource@5.0.0","MIT"
"@sanity/export@3.15.1","MIT"
"@sanity/generate-help-url@3.0.0","MIT"
"@sanity/groq-store@4.1.1","MIT"
"@sanity/icons@1.3.10","MIT"
"@sanity/icons@2.4.1","MIT"
"@sanity/image-url@1.0.2","MIT"
"@sanity/import@3.15.1","MIT"
"@sanity/incompatible-plugin@1.0.4","MIT"
"@sanity/logos@2.1.2","MIT"
"@sanity/mutator@3.15.1","MIT"
"@sanity/portable-text-editor@3.15.1","MIT"
"@sanity/preview-kit@3.1.6","MIT"
"@sanity/schema@3.15.1","MIT"
"@sanity/slate-react@2.30.1","MIT"
"@sanity/types@3.15.1","MIT"
"@sanity/ui@1.7.11","MIT"
"@sanity/util@3.15.1","MIT"
"@sanity/uuid@3.0.2","MIT"
"@sanity/vision@3.15.1","MIT"
"@sanity/webhook@3.0.1","MIT"
"@socialgouv/matomo-next@1.6.1","Apache-2.0"
"@supabase/functions-js@2.1.2","MIT"
"@supabase/gotrue-js@2.31.0","MIT"
"@supabase/postgrest-js@1.7.1","MIT"
"@supabase/realtime-js@2.7.3","MIT"
"@supabase/storage-js@2.5.1","MIT"
"@supabase/supabase-js@2.26.0","MIT"
"@swc/helpers@0.5.2","Apache-2.0"
"@tailwindcss/container-queries@0.1.1","MIT"
"@tailwindcss/forms@0.5.4","MIT"
"@tailwindcss/typography@0.5.9","MIT"
"@tanstack/react-virtual@3.0.0-beta.54","MIT"
"@tanstack/virtual-core@3.0.0-beta.54","MIT"
"@tootallnate/once@2.0.0","MIT"
"@types/codemirror@5.60.10","MIT"
"@types/debug@4.1.8","MIT"
"@types/diff-match-patch@1.0.32","MIT"
"@types/estree@1.0.1","MIT"
"@types/event-source-polyfill@1.0.1","MIT"
"@types/eventsource@1.1.11","MIT"
"@types/geojson@7946.0.10","MIT"
"@types/glob@7.2.0","MIT"
"@types/hast@2.3.5","MIT"
"@types/is-hotkey@0.1.7","MIT"
"@types/lodash@4.14.197","MIT"
"@types/marked@4.3.1","MIT"
"@types/mdast@3.0.12","MIT"
"@types/minimatch@5.1.2","MIT"
"@types/ms@0.7.31","MIT"
"@types/node-fetch@2.6.4","MIT"
"@types/node@20.4.2","MIT"
"@types/normalize-package-data@2.4.1","MIT"
"@types/phoenix@1.6.0","MIT"
"@types/prop-types@15.7.5","MIT"
"@types/react-copy-to-clipboard@5.0.4","MIT"
"@types/react-dom@18.2.14","MIT"
"@types/react-is@18.2.1","MIT"
"@types/react@18.2.33","MIT"
"@types/scheduler@0.16.3","MIT"
"@types/shallow-equals@1.0.0","MIT"
"@types/speakingurl@13.0.3","MIT"
